"filename", "language", "Markdown", "C", "C++", "Makefile", "CMake", "Python", "YAML", "Ruby", "Shell Script", "Properties", "Handlebars", "JSON", "reStructuredText", "HTML", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_player_png.c", "C", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 268
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_recordagain_png.c", "C", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 70
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_retry_n_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_retry_y_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_scollarbar_png.c", "C", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 82
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_seeyounexttime_png.c", "C", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 248
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_speach_png.c", "C", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 264
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_start_n_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_start_y_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_tips1_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_tips2_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_tips3_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_warning_amber_png.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 34
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_ActiveScreen.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 51
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_FocusScreen.c", "C", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34, 301
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_HalfmindScreen.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 24
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_HostActiveScreen.c", "C", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 116
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_OTAScreen.c", "C", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 88
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_OperatingScreen.c", "C", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35, 301
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_ShutdownScreen.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 53
